Index	PG.MolecularWeight	PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	[1] C_Schulte_290621_260821_UMG_Fu_R1_1.raw.PG.Quantity	[2] C_Schulte_290621_260821_UMG_Fu_R1_10.raw.PG.Quantity	[3] C_Schulte_290621_260821_UMG_Fu_R1_11.raw.PG.Quantity	[4] C_Schulte_290621_260821_UMG_Fu_R1_12.raw.PG.Quantity	[5] C_Schulte_290621_260821_UMG_Fu_R1_13.raw.PG.Quantity	[6] C_Schulte_290621_260821_UMG_Fu_R1_14.raw.PG.Quantity	[7] C_Schulte_290621_260821_UMG_Fu_R1_15.raw.PG.Quantity	[8] C_Schulte_290621_260821_UMG_Fu_R1_16.raw.PG.Quantity	[9] C_Schulte_290621_260821_UMG_Fu_R1_17.raw.PG.Quantity	[10] C_Schulte_290621_260821_UMG_Fu_R1_18.raw.PG.Quantity	[11] C_Schulte_290621_260821_UMG_Fu_R1_19.raw.PG.Quantity	[12] C_Schulte_290621_260821_UMG_Fu_R1_2.raw.PG.Quantity	[13] C_Schulte_290621_260821_UMG_Fu_R1_20.raw.PG.Quantity	[14] C_Schulte_290621_260821_UMG_Fu_R1_21.raw.PG.Quantity	[15] C_Schulte_290621_260821_UMG_Fu_R1_22.raw.PG.Quantity	[16] C_Schulte_290621_260821_UMG_Fu_R1_23.raw.PG.Quantity	[17] C_Schulte_290621_260821_UMG_Fu_R1_24.raw.PG.Quantity	[18] C_Schulte_290621_260821_UMG_Fu_R1_25.raw.PG.Quantity	[19] C_Schulte_290621_260821_UMG_Fu_R1_26.raw.PG.Quantity	[20] C_Schulte_290621_260821_UMG_Fu_R1_27.raw.PG.Quantity	[21] C_Schulte_290621_260821_UMG_Fu_R1_28.raw.PG.Quantity	[22] C_Schulte_290621_260821_UMG_Fu_R1_29.raw.PG.Quantity	[23] C_Schulte_290621_260821_UMG_Fu_R1_3.raw.PG.Quantity	[24] C_Schulte_290621_260821_UMG_Fu_R1_30.raw.PG.Quantity	[25] C_Schulte_290621_260821_UMG_Fu_R1_31.raw.PG.Quantity	[26] C_Schulte_290621_260821_UMG_Fu_R1_32.raw.PG.Quantity	[27] C_Schulte_290621_260821_UMG_Fu_R1_33.raw.PG.Quantity	[28] C_Schulte_290621_260821_UMG_Fu_R1_34.raw.PG.Quantity	[29] C_Schulte_290621_260821_UMG_Fu_R1_35.raw.PG.Quantity	[30] C_Schulte_290621_260821_UMG_Fu_R1_36.raw.PG.Quantity	[31] C_Schulte_290621_260821_UMG_Fu_R1_37.raw.PG.Quantity	[32] C_Schulte_290621_260821_UMG_Fu_R1_38.raw.PG.Quantity	[33] C_Schulte_290621_260821_UMG_Fu_R1_39.raw.PG.Quantity	[34] C_Schulte_290621_260821_UMG_Fu_R1_4.raw.PG.Quantity	[35] C_Schulte_290621_260821_UMG_Fu_R1_40.raw.PG.Quantity	[36] C_Schulte_290621_260821_UMG_Fu_R1_5.raw.PG.Quantity	[37] C_Schulte_290621_260821_UMG_Fu_R1_6.raw.PG.Quantity	[38] C_Schulte_290621_260821_UMG_Fu_R1_7.raw.PG.Quantity	[39] C_Schulte_290621_260821_UMG_Fu_R1_8.raw.PG.Quantity	[40] C_Schulte_290621_260821_UMG_Fu_R1_9.raw.PG.Quantity	[41] C_Schulte_290621_260821_UMG_Fu_R2_1.raw.PG.Quantity	[42] C_Schulte_290621_260821_UMG_Fu_R2_10.raw.PG.Quantity	[43] C_Schulte_290621_260821_UMG_Fu_R2_11.raw.PG.Quantity	[44] C_Schulte_290621_260821_UMG_Fu_R2_12.raw.PG.Quantity	[45] C_Schulte_290621_260821_UMG_Fu_R2_13.raw.PG.Quantity	[46] C_Schulte_290621_260821_UMG_Fu_R2_14.raw.PG.Quantity	[47] C_Schulte_290621_260821_UMG_Fu_R2_15.raw.PG.Quantity	[48] C_Schulte_290621_260821_UMG_Fu_R2_16.raw.PG.Quantity	[49] C_Schulte_290621_260821_UMG_Fu_R2_17.raw.PG.Quantity	[50] C_Schulte_290621_260821_UMG_Fu_R2_18.raw.PG.Quantity	[51] C_Schulte_290621_260821_UMG_Fu_R2_19.raw.PG.Quantity	[52] C_Schulte_290621_260821_UMG_Fu_R2_2.raw.PG.Quantity	[53] C_Schulte_290621_260821_UMG_Fu_R2_20.raw.PG.Quantity	[54] C_Schulte_290621_260821_UMG_Fu_R2_21.raw.PG.Quantity	[55] C_Schulte_290621_260821_UMG_Fu_R2_22.raw.PG.Quantity	[56] C_Schulte_290621_260821_UMG_Fu_R2_23.raw.PG.Quantity	[57] C_Schulte_290621_260821_UMG_Fu_R2_24.raw.PG.Quantity	[58] C_Schulte_290621_260821_UMG_Fu_R2_25.raw.PG.Quantity	[59] C_Schulte_290621_260821_UMG_Fu_R2_26.raw.PG.Quantity	[60] C_Schulte_290621_260821_UMG_Fu_R2_27.raw.PG.Quantity	[61] C_Schulte_290621_260821_UMG_Fu_R2_28.raw.PG.Quantity	[62] C_Schulte_290621_260821_UMG_Fu_R2_29.raw.PG.Quantity	[63] C_Schulte_290621_260821_UMG_Fu_R2_3.raw.PG.Quantity	[64] C_Schulte_290621_260821_UMG_Fu_R2_30.raw.PG.Quantity	[65] C_Schulte_290621_260821_UMG_Fu_R2_31.raw.PG.Quantity	[66] C_Schulte_290621_260821_UMG_Fu_R2_32.raw.PG.Quantity	[67] C_Schulte_290621_260821_UMG_Fu_R2_33.raw.PG.Quantity	[68] C_Schulte_290621_260821_UMG_Fu_R2_34.raw.PG.Quantity	[69] C_Schulte_290621_260821_UMG_Fu_R2_35.raw.PG.Quantity	[70] C_Schulte_290621_260821_UMG_Fu_R2_36.raw.PG.Quantity	[71] C_Schulte_290621_260821_UMG_Fu_R2_37.raw.PG.Quantity	[72] C_Schulte_290621_260821_UMG_Fu_R2_38.raw.PG.Quantity	[73] C_Schulte_290621_260821_UMG_Fu_R2_39.raw.PG.Quantity	[74] C_Schulte_290621_260821_UMG_Fu_R2_4.raw.PG.Quantity	[75] C_Schulte_290621_260821_UMG_Fu_R2_40.raw.PG.Quantity	[76] C_Schulte_290621_260821_UMG_Fu_R2_5.raw.PG.Quantity	[77] C_Schulte_290621_260821_UMG_Fu_R2_6.raw.PG.Quantity	[78] C_Schulte_290621_260821_UMG_Fu_R2_7.raw.PG.Quantity	[79] C_Schulte_290621_260821_UMG_Fu_R2_8.raw.PG.Quantity	[80] C_Schulte_290621_260821_UMG_Fu_R2_9.raw.PG.Quantity
435	"NaN;55714.04;48003.55;52518.35"	"A0A5F8MP75;E9QN59;Q3TQZ7;Q8C9D4"	Mapk10	Mus musculus	"Mitogen-activated protein kinase 10;Mitogen-activated protein kinase;Mitogen-activated protein kinase;Mitogen-activated protein kinase"	"A0A5F8MP75_MOUSE;E9QN59_MOUSE;Q3TQZ7_MOUSE;Q8C9D4_MOUSE"	9519.49	8827.16	8763.74	9986.47	8778.55	10015.83	9704.04	9656.42	10243.00	9473.49	8735.69	9176.32	7363.79	11308.30	11929.49	10385.38	12928.65	12900.55	11410.32	11393.99	10801.14	11456.28	9993.18	10337.46	9901.52	8878.47	8690.28	10106.73	9649.87	7854.35	10083.92	10121.79	8042.14	10248.99	11166.07	8898.85	9930.98	7760.98	9482.53	7742.06	10848.93	9571.36	8108.00	9217.82	8709.66	10823.66	8562.90	8851.49	9818.13	9704.32	7890.74	9374.84	7629.62	11313.76	11199.66	10103.49	12464.81	12188.17	11118.76	10750.64	11127.13	9871.93	8133.67	9391.72	9023.83	8639.74	9324.32	8751.88	9413.83	7073.42	9460.38	9517.41	9271.90	9031.22	11329.57	8061.11	9391.17	7186.58	8480.62	7123.38
436	"110068.83;54935.92;54935.92-2"	"A0A5F8MP96;P28661;P28661-2"	"Sept4;Septin4;Septin4"	Mus musculus	"Septin 4;Septin-4;Isoform 2 of Septin-4"	"A0A5F8MP96_MOUSE;SEPT4_MOUSE;SEPT4_MOUSE"	15971.13	14007.10	11959.62	17438.80	16727.50	14851.61	19870.74	21389.49	22373.06	21077.11	21276.86	14508.49	14914.40	10694.83	14985.21	12844.17	13114.68	9651.10	12781.80	11515.55	11350.51	14046.40	13330.28	16161.00	11424.02	18504.32	16960.61	19880.14	18038.04	11801.65	19571.19	13317.09	16902.63	13575.74	19393.28	9052.85	16517.15	11283.83	15608.73	9705.89	16154.60	12743.57	10889.64	16138.42	15832.14	14687.70	19757.75	21640.46	21256.41	19713.97	20903.05	14738.70	18493.21	10573.64	15124.87	12258.87	12313.25	8884.73	12956.29	11317.04	10935.42	14888.74	15796.26	16464.33	12170.99	16290.68	14599.97	18673.04	22245.34	13989.08	19400.85	20062.52	17433.64	13866.11	18871.39	12876.57	16550.31	14148.61	15106.44	10809.44
437	"168113.52;171813.52;155588.99;155588.99-2"	"A0A5F8MP98;A0A5F8MPF2;Q5SSZ5;Q5SSZ5-2"	Tns3	Mus musculus	"Tensin-3;Tensin-3;Tensin-3;Isoform 2 of Tensin-3"	"A0A5F8MP98_MOUSE;A0A5F8MPF2_MOUSE;TENS3_MOUSE;TENS3_MOUSE"	2618.73	3351.48	2498.84	2083.77	2899.90	3820.64	2548.13	3457.15	1964.30	2254.30	2268.61	3727.48	2364.39	2878.75	3100.26	2446.31	4516.19	4344.16	4805.27	3515.24	4348.85	1552.61	2242.24	3347.31	2046.15	2258.92	Filtered	2878.46	3231.78	2976.70	2729.12	3362.25	Filtered	4056.24	2948.08	2470.32	2904.31	Filtered	2861.02	Filtered	3708.04	2935.49	2970.82	2586.60	3151.41	3106.80	2685.16	2504.70	2626.89	2340.06	3226.66	3793.48	3408.35	2664.91	3235.83	3269.57	5058.69	4648.35	4848.60	3614.45	5470.90	3398.88	Filtered	3015.99	1518.15	Filtered	3137.90	2829.75	Filtered	2438.28	1470.58	3802.97	Filtered	4267.77	2308.02	2462.83	2872.36	2221.19	2454.20	2689.96
438	"71027.77;68542.8"	"A0A5F8MPB9;P26043"	Rdx	Mus musculus	Radixin	"A0A5F8MPB9_MOUSE;RADI_MOUSE"	24588.84	23155.38	25956.43	24623.06	24826.72	28345.75	19634.54	20740.00	22399.59	22850.15	20003.25	26752.48	25798.15	39919.79	35234.14	35054.39	59432.97	63136.88	54394.13	40583.58	30474.16	29716.95	25374.29	27956.53	40220.26	21399.14	37155.72	25671.52	39933.09	38266.80	23945.31	43702.89	37235.79	28235.46	34470.05	28910.49	25328.78	131699.36	25539.71	32740.65	25739.01	24089.31	24702.91	24014.18	25924.16	31709.14	19773.02	20401.92	22660.24	23175.39	21128.25	26857.89	25835.49	39028.08	35240.00	35007.17	58524.70	62624.99	53321.28	39501.61	31576.88	27904.83	25947.51	26311.08	36517.35	20825.89	35181.71	24547.84	40074.20	36785.88	22403.80	40788.75	36980.89	28416.16	33882.99	30901.38	25697.67	139157.80	28736.12	33922.97
439	"NaN;66943.8"	"A0A5F8MPK9;Q9EP69"	Sacm1l	Mus musculus	Phosphatidylinositide phosphatase SAC1	"A0A5F8MPK9_MOUSE;SAC1_MOUSE"	11894.97	12697.59	11116.74	12175.67	11636.94	10980.23	15378.96	14805.07	16756.94	15396.40	16833.48	11221.42	9680.04	7830.90	9878.74	10071.25	6462.72	6531.19	10677.71	7867.32	8079.82	9618.92	10411.25	10147.18	10623.32	15616.17	11687.16	14162.80	11919.74	10993.42	16970.54	10216.67	9172.45	11601.06	13347.99	10187.99	12614.83	9317.58	11882.55	8717.40	12360.68	12608.31	11176.99	12053.08	11479.28	11078.86	15129.15	15141.06	16764.62	15327.13	16652.14	10882.73	9606.44	7724.68	9935.67	10493.87	6677.06	6751.82	10595.81	7824.79	8671.29	10566.65	11487.58	10887.52	11130.63	16632.60	12057.62	14188.00	14570.53	10558.29	16691.20	10640.52	10594.29	11395.93	13278.07	9187.26	12643.37	8384.21	10347.87	8927.28
440	"338693.51;339092.74;339092.74-2"	"A0A5F8MPN1;E9Q8I9;E9Q8I9-2"	Fry	Mus musculus	"Protein furry homolog;Protein furry homolog;Isoform 2 of Protein furry homolog"	"A0A5F8MPN1_MOUSE;FRY_MOUSE;FRY_MOUSE"	6671.28	7889.75	4716.56	7078.75	2211.85	6914.71	9478.75	3648.73	5543.90	7025.95	7867.16	12946.19	15609.65	Filtered	7612.37	7121.04	10798.42	1148.92	5721.75	12481.52	Filtered	2198.24	24196.91	10309.89	9560.34	2794.98	1710.90	3321.45	Filtered	1720.96	3466.84	11542.24	6229.97	8019.58	4256.89	Filtered	14904.04	12949.39	8707.40	24107.75	1843.17	3099.44	5285.26	2593.95	1956.26	3302.20	2411.92	4712.65	2130.72	3756.91	3067.60	7039.46	1287.16	3385.12	4889.67	1304.93	1046.40	14001.06	5359.88	9500.68	9802.72	8839.70	12709.44	4104.86	577.91	2756.82	Filtered	2353.91	Filtered	Filtered	2104.69	Filtered	Filtered	1656.23	2268.93	Filtered	3064.44	9103.77	6539.66	Filtered
441	"105710.54;103337.7;103337.7-2;103337.7-3"	"A0A5F8MPR1;Q9WV92;Q9WV92-2;Q9WV92-3"	Epb41l3	Mus musculus	"Band 4.1-like protein 3;Band 4.1-like protein 3;Isoform 2 of Band 4.1-like protein 3;Isoform 3 of Band 4.1-like protein 3"	"A0A5F8MPR1_MOUSE;E41L3_MOUSE;E41L3_MOUSE;E41L3_MOUSE"	39461.15	33486.93	33594.15	38435.51	38752.96	36104.39	46022.65	50328.02	55240.00	51358.23	56145.01	36572.14	28228.38	24909.46	35165.43	32053.76	27268.33	25291.24	39626.49	25902.95	30315.68	32980.34	39015.63	35518.98	30830.71	50362.36	34378.67	43179.43	36190.49	32755.81	47909.08	34123.22	27907.56	34388.59	39541.47	26959.46	37178.23	19842.11	40288.13	29610.04	39951.37	34870.15	34879.03	38510.38	38857.96	37256.81	47698.56	52960.54	55401.04	52995.77	56839.63	35361.26	28015.46	27226.93	34467.97	33104.02	28055.46	24764.55	40375.24	25948.59	30863.51	31682.75	39135.52	35930.01	30706.46	49260.43	35009.87	42959.17	37594.49	33311.35	48001.86	34176.50	28974.69	35779.11	40561.64	27920.96	39433.03	19809.97	42056.98	30222.33
442	"NaN;48508.74"	"A0A5F8MPS7;P24638"	Acp2	Mus musculus	Lysosomal acid phosphatase	"A0A5F8MPS7_MOUSE;PPAL_MOUSE"	1733.51	2200.38	2570.10	1827.45	2316.46	1876.78	1493.77	1836.41	2815.51	2801.23	2070.49	4052.78	3238.68	3364.00	4840.34	2335.07	3387.08	3784.86	3466.20	1603.74	1287.31	4168.34	1893.82	4091.98	4361.29	3582.75	Filtered	2450.08	Filtered	Filtered	3001.43	3474.85	Filtered	1731.67	2156.86	Filtered	3372.27	2063.04	Filtered	Filtered	1499.56	2298.13	2107.35	2011.78	Filtered	3183.51	1827.27	2451.19	3301.18	2970.15	2327.76	2868.03	4039.75	2795.62	2818.94	1974.75	2130.53	3315.90	3709.24	4914.74	Filtered	Filtered	Filtered	3996.81	2551.42	2662.69	Filtered	2441.40	2409.43	1433.97	3675.45	Filtered	Filtered	2834.25	1646.12	Filtered	2508.47	Filtered	2571.74	Filtered
443	"28417.65;21942.51"	"A0A5F8MPX4;Q66GT5"	Ptpmt1	Mus musculus	Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1	"A0A5F8MPX4_MOUSE;PTPM1_MOUSE"	3649.58	Filtered	Filtered	3004.60	2831.13	2679.25	3837.31	4765.14	5964.25	6043.90	3884.31	3916.99	1772.28	Filtered	3164.62	2018.87	2232.91	2056.27	3756.17	2513.02	Filtered	3749.26	2181.35	4231.84	3245.28	3300.85	1364.73	4330.40	2132.47	2800.58	4016.20	3320.53	Filtered	3050.46	5547.72	Filtered	3945.87	2619.00	3325.08	Filtered	3711.33	3736.28	3654.22	4584.51	3157.54	3764.42	4916.76	5408.88	6508.40	5302.40	4963.40	3114.55	Filtered	2373.56	4187.45	2545.84	Filtered	2879.87	3810.92	2503.85	Filtered	2456.31	Filtered	3274.03	2984.45	5074.81	Filtered	4502.30	Filtered	2210.50	3673.69	2665.01	2731.32	3290.40	4681.61	Filtered	3917.87	2011.86	3570.51	Filtered
444	"123780.12;119242.93;119242.93-2;119242.93-4;119242.93-5;119242.93-6"	"A0A5F8MPY3;P34152;P34152-2;P34152-4;P34152-5;P34152-6"	Ptk2	Mus musculus	"Focal adhesion kinase 1;Focal adhesion kinase 1;Isoform 2 of Focal adhesion kinase 1;Isoform 4 of Focal adhesion kinase 1;Isoform 5 of Focal adhesion kinase 1;Isoform 6 of Focal adhesion kinase 1"	"A0A5F8MPY3_MOUSE;FAK1_MOUSE;FAK1_MOUSE;FAK1_MOUSE;FAK1_MOUSE;FAK1_MOUSE"	3373.18	Filtered	2442.27	4238.22	2864.56	2161.59	3424.13	4735.66	5891.42	5965.14	4179.89	1560.39	1872.51	Filtered	3355.09	2843.87	Filtered	1586.40	3643.48	2338.75	Filtered	2365.50	Filtered	2976.36	2093.00	3272.99	Filtered	3886.85	Filtered	1687.18	5190.26	2815.28	Filtered	1880.69	4984.26	Filtered	3349.11	2654.11	2879.96	1426.28	4248.38	Filtered	1164.05	2626.59	3454.35	2789.44	2227.18	4037.48	4156.24	4589.93	2979.73	1822.42	Filtered	1197.82	Filtered	2334.79	1911.48	Filtered	2802.57	Filtered	Filtered	2323.97	Filtered	2668.48	1693.39	2407.86	Filtered	2175.84	Filtered	Filtered	Filtered	Filtered	Filtered	3873.89	Filtered	Filtered	3306.84	2411.34	Filtered	Filtered
445	"71798.7;63734.04;61629.42;68603.06;69495.04"	"A0A5F8MPZ2;E9Q7C9;Q5UE59;Q7TNF4;Q8CD76"	Klc1	Mus musculus	Kinesin light chain 1	"A0A5F8MPZ2_MOUSE;E9Q7C9_MOUSE;Q5UE59_MOUSE;Q7TNF4_MOUSE;Q8CD76_MOUSE"	10069.79	9013.16	9526.90	10533.67	9465.31	9133.04	13414.73	12421.50	14368.60	14126.51	13791.42	8136.60	7976.67	5391.06	7706.93	8344.26	4565.64	5025.77	9554.45	5546.09	7221.28	7827.58	9552.31	9592.28	8797.48	14092.87	9914.66	11272.72	11438.66	9242.00	11706.62	8340.70	8233.33	8198.01	9960.34	7698.76	10050.75	6846.18	9211.53	7953.19	10019.79	10930.32	9936.96	10693.92	8975.08	8686.96	13637.26	13013.27	14185.58	14065.76	14736.17	8658.50	8235.45	6478.61	7748.78	8214.98	4766.72	4967.76	9385.59	5608.74	7449.39	8211.22	9382.00	10429.48	9167.57	14074.97	9086.05	11794.53	10937.76	9444.02	12765.77	10135.86	8727.95	7814.40	10144.41	7252.31	9836.05	7944.65	8728.78	7658.91
446	"33348.83;29844.66"	"A0A5F8MQ13;M0QWJ9"	Tmem178b	Mus musculus	Transmembrane protein 178B	"A0A5F8MQ13_MOUSE;M0QWJ9_MOUSE"	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	1659.20	2202.66	3379.40	2997.86	1598.56	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	1476.23	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	709.44	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	476.81	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	1391.56	Filtered	865.44	Filtered	1761.36	2765.18	2668.21	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	411.44	1044.92	Filtered	Filtered	1125.24	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	1185.32	Filtered	Filtered	1281.78	Filtered	Filtered	1318.61	Filtered	Filtered	Filtered
447	NaN	A0A5F8MQ17	Aqp4	Mus musculus	Aquaporin-4	A0A5F8MQ17_MOUSE	Filtered	Filtered	Filtered	5383.49	2810.03	3280.47	4799.03	6701.92	4602.44	4770.50	5116.20	Filtered	Filtered	2565.01	Filtered	Filtered	Filtered	Filtered	Filtered	2975.00	Filtered	Filtered	3652.15	Filtered	Filtered	7056.26	Filtered	Filtered	Filtered	Filtered	3652.58	Filtered	Filtered	2841.34	3319.48	Filtered	4507.80	Filtered	Filtered	Filtered	3961.32	2488.09	Filtered	Filtered	2476.14	3567.46	4170.80	6471.06	4670.34	5105.18	4463.62	Filtered	1601.39	Filtered	1759.66	2488.54	Filtered	Filtered	Filtered	2323.14	Filtered	Filtered	5593.61	Filtered	Filtered	5131.94	Filtered	Filtered	Filtered	Filtered	3001.01	1080.04	Filtered	3751.64	3782.72	Filtered	4742.18	Filtered	Filtered	3982.18
448	"103479.16;100460.01;100460.01"	"A0A5F8MQ25;G3X9K4;Q8R3Q2"	Ppp6r2	Mus musculus	Serine/threonine-protein phosphatase 6 regulatory subunit 2	"A0A5F8MQ25_MOUSE;G3X9K4_MOUSE;PP6R2_MOUSE"	6041.47	8804.13	4646.77	5770.61	8158.46	4646.44	6424.22	5328.02	6202.97	5906.21	6220.78	5672.65	5822.85	4609.41	4450.52	5145.44	4286.83	3148.56	4878.60	6979.60	11241.24	5498.56	7292.95	7026.71	6696.74	6127.99	8317.90	4741.29	7735.51	10841.02	6899.29	7630.96	13053.12	5966.72	5694.19	6187.33	3823.90	6470.68	2789.79	10812.09	5862.93	6657.12	9414.61	4908.94	7699.09	7229.32	5989.05	5435.10	6343.03	5550.07	7015.25	10476.62	5204.00	5805.49	5410.65	7027.34	6318.73	6246.72	5086.66	5735.57	6047.90	5300.85	5598.36	5691.26	8600.19	6765.85	6215.68	4958.17	Filtered	10185.55	6498.51	5437.48	6382.06	5502.31	8056.22	9334.65	6434.71	2169.36	3922.21	4564.06
449	"227945.82;227944.84"	"A0A5H1ZRM8;B1AWN6"	Scn2a	Mus musculus	Sodium channel protein type 2 subunit alpha	"A0A5H1ZRM8_MOUSE;SCN2A_MOUSE"	8828.60	7356.60	7665.07	7990.72	7885.92	7010.91	9964.78	13455.98	12348.11	12162.62	13220.83	9304.66	5533.44	5981.07	6171.79	7855.50	3993.29	3310.10	6698.76	4411.57	7823.69	6118.45	8464.27	7179.65	5921.38	10829.58	11359.91	7551.35	10681.73	10649.11	9711.08	4833.51	7118.27	6753.25	7666.32	4569.31	7535.04	5739.80	8118.08	7405.83	8697.88	7647.83	6731.53	6788.01	9018.06	7157.53	10748.68	13044.69	11535.75	12372.95	15433.99	8324.72	6666.27	6246.85	5587.24	4664.67	4394.21	3811.35	7356.75	4525.16	6463.59	6040.12	9718.75	5978.04	5935.01	11006.49	11700.96	8414.07	12013.29	7549.19	8243.27	6401.69	6540.54	9132.33	7286.92	6193.10	6380.21	5821.54	8789.25	8373.77
450	"83665.81;83282.36"	"A0JNY3;Q8BUV3"	Gphn	Mus musculus	"Molybdopterin molybdenumtransferase;Gephyrin"	"A0JNY3_MOUSE;GEPH_MOUSE"	18626.73	21544.23	16186.71	19793.18	12144.23	14220.55	17579.62	19182.37	19830.95	18673.57	21017.12	22347.81	25419.55	16517.74	167815.63	89431.23	78507.24	80730.34	27268.52	66652.64	71448.58	32562.44	26268.41	14425.72	13181.69	19146.40	25681.17	21711.37	25202.46	34947.64	23851.28	24832.90	33639.56	18899.01	148977.39	14055.05	16942.68	10385.62	27995.20	23940.09	18248.12	23077.70	18076.48	19528.71	12371.47	14058.62	18854.79	19555.41	20328.24	18812.58	22169.79	23613.99	26360.43	16312.37	168664.02	88796.52	79836.40	81907.94	27650.66	68179.31	71559.30	30834.26	26326.70	13938.76	13548.59	19669.45	26541.11	22456.16	28848.21	33172.82	22571.57	27541.53	35224.59	19265.74	150748.48	16211.49	15706.85	10507.35	27143.23	25673.77
451	"44547.16;43231.75"	"A0ZV96;Q8BHW2"	Oscp1	Mus musculus	"Organic solute carrier protein 1 isoform;Protein OSCP1"	"A0ZV96_MOUSE;OSCP1_MOUSE"	3264.13	3037.97	2727.65	3601.57	3090.55	3851.74	3986.17	4073.44	4234.13	4608.76	3367.58	3004.91	1493.28	2704.20	3565.37	2641.58	2237.42	1811.20	2903.54	2068.95	2441.32	3982.70	3612.48	3517.62	3611.24	4116.26	3462.85	4085.02	3060.35	3554.09	4063.77	2702.01	1726.06	3389.79	4827.96	5124.56	3003.74	36189.45	7496.21	2675.00	2923.16	4193.63	3801.06	3639.40	3483.08	3065.28	4640.02	4263.40	7849.90	4866.37	4960.31	3386.82	2954.00	2478.24	3041.67	2897.13	2831.68	2198.57	7199.84	21895.28	2951.42	3188.38	3335.00	3325.91	4517.58	6479.97	3275.14	5072.25	Filtered	2897.31	4085.76	2540.08	2826.95	3081.94	4565.31	7150.30	4027.55	Filtered	4033.08	2070.79
452	102720.33	A1BN54	Actn1	Mus musculus	Alpha actinin 1a	A1BN54_MOUSE	1943.83	1146.38	518.66	2252.61	1303.46	2399.65	1478.01	1496.19	2188.76	1351.20	1936.33	1742.85	Filtered	1269.25	943.68	735.01	842.57	1827.93	986.39	705.51	1802.06	683.29	3037.81	699.78	1385.17	1683.46	Filtered	1241.16	Filtered	Filtered	1210.62	Filtered	Filtered	2041.69	835.92	Filtered	1773.03	5470.02	2550.04	Filtered	1643.98	1428.72	1360.69	1068.11	2296.89	794.71	1547.47	1644.18	2071.46	1589.62	1713.44	1838.52	1338.80	1024.04	1653.50	916.60	678.43	1181.21	1278.27	581.93	Filtered	667.82	3153.22	802.39	1455.07	2387.82	Filtered	680.69	Filtered	Filtered	992.20	446.79	1844.08	Filtered	1088.74	1032.68	1010.64	6160.40	2265.05	Filtered
453	"50140.15;55951.07"	"A1KR23;P48168"	Glrb	Mus musculus	"Glycine receptor beta subunit;Glycine receptor subunit beta"	"A1KR23_MOUSE;GLRB_MOUSE"	7370.11	Filtered	Filtered	14372.88	Filtered	Filtered	Filtered	3.30	7228.20	2604.61	5578.75	3045.29	6821.85	25474.75	4608.58	761642.75	21554.54	13366.37	1544.32	8640.61	Filtered	984.51	12242.73	39301.00	9315.01	Filtered	37736.25	19041.19	33226.53	43083.67	628030.75	65552.31	1850146.63	Filtered	2081684.50	Filtered	1715.20	Filtered	12658.27	4016.06	17128.63	Filtered	Filtered	221.21	1.00	17063.33	Filtered	719.81	2118.59	1111.46	3067.84	3912.81	7973.03	5226.59	5161.65	782458.69	20642.24	14489.08	1304.08	9161.07	Filtered	Filtered	18725.75	46496.89	10324.37	530.82	37824.27	19235.74	33191.78	38334.33	652666.06	66058.80	3056792.75	1763.95	2103077.75	1162.24	1725.71	Filtered	8113.21	4692.74
454	77952.84	A1L3P4	Slc9a6	Mus musculus	Sodium/hydrogen exchanger	A1L3P4_MOUSE	3019.01	2760.40	3595.09	3202.86	3451.50	2751.83	4197.64	4360.04	5116.58	5868.78	4612.79	3817.11	3687.92	3161.93	3541.43	2891.29	1749.90	2498.59	3714.49	2181.80	1220.79	3460.29	2333.42	4887.81	6104.86	4822.65	1983.86	6015.58	3375.10	3376.89	4775.93	3393.78	2994.03	4013.34	3757.41	1745.09	3664.40	Filtered	3722.09	3161.06	3487.45	2991.04	4111.75	3224.66	4746.09	2913.97	3972.88	4236.62	4887.59	6001.68	4960.37	3578.65	3062.78	4842.20	2498.15	3607.12	1751.41	1974.15	3935.08	3255.07	2215.99	4131.96	Filtered	6186.93	4852.99	5620.32	2199.13	4582.68	2893.15	2943.77	4818.44	2282.74	Filtered	2674.67	3878.89	1398.68	3347.88	2495.15	3382.33	2064.25
